abbrev,numwins,bpi,bpirank,bpioffense,bpidefense,playoffbpi
OKC,43-9,9.6,1,3.4,6.2,8.6
CLE,43-10,6.1,2,6.2,-0.2,6.0
LAL,32-19,5.5,3,3.7,1.7,4.5
BOS,38-16,5.0,4,4.0,1.0,4.5
MEM,35-17,4.2,5,2.9,1.4,3.3
DET,28-26,3.5,6,-2.0,5.5,-0.1
LAC,29-23,3.4,7,-0.4,3.7,2.4
DEN,35-19,3.3,8,5.0,-1.7,3.4
NY,35-18,3.0,9,5.1,-2.1,2.4
GS,27-26,2.8,10,0.7,2.0,2.2
HOU,33-20,1.9,11,-0.9,2.8,3.0
CHI,22-32,1.4,12,-1.4,2.8,-2.4
ORL,26-29,1.4,13,-3.7,5.1,0.4
SAC,27-26,0.8,14,1.9,-1.1,-0.2
IND,29-23,0.6,15,2.0,-1.4,0.3
SA,23-28,0.4,16,0.6,-0.3,-0.6
PHI,20-33,0.2,17,0.5,-0.3,-0.8
PHX,26-26,-0.5,18,2.2,-2.6,-0.1
MIN,30-24,-1.2,19,-1.4,0.2,0.1
ATL,26-28,-1.7,20,-1.6,-0.1,-1.4
MIA,25-26,-1.8,21,-1.5,-0.2,-2.7
TOR,17-37,-2.1,22,-1.5,-0.7,-3.1
MIL,28-24,-2.2,23,-0.1,-2.0,-0.3
POR,23-31,-2.4,24,-1.5,-0.9,-1.0
DAL,28-26,-4.4,25,-0.9,-3.5,2.0
NO,12-41,-5.1,26,-2.2,-2.9,-6.0
UTAH,12-40,-5.2,27,-1.3,-3.9,-6.2
BKN,19-34,-5.3,28,-4.3,-1.0,-4.3
WSH,9-44,-9.3,29,-5.6,-3.7,-7.2
CHA,13-38,-11.8,30,-7.9,-3.8,-6.7
